test,anotherTest,YetAnotherTest,OneMoreTest
-1.0864112053075925,1.371253653717194,1,0.8336577084382528
1.7872940617081459,0.4650804958225791,0,0.45221788251021544
0.5304733611949405,0.2529768718959837,1,0.40439647403136125
-0.47494674763008077,0.2805324800549658,2,-0.640060985012634
-0.18332475792526534,0.07066792312428402,1,0.3173374751838818
-0.7683885814947807,1.4299845400717137,1,0.961786452210805
-0.013833365948075724,-0.7717385739077244,0,0.34048931737950894
0.0836427617594319,-0.8656210633320542,0,-0.12038071113642568
-0.8713295013399437,0.10755309669547342,0,-0.09795085625313549
-2.374158795537769,-1.4950876534079571,2,0.6311742972714556
